"accelerometer","gyroscope","temphum"
"(-0.17467604979999998, 4.1252261624, -8.1786676468, 30.400000000000002, -26.900000000000002, 43.400000000000006)","(0.640625, -0.2890625, 0.78125)","(22.87174792095827, 52.24272392900203)"
"(-0.2081755662, 4.1204405172, -8.212167163199998, 31.1, -27.8, 42.800000000000004)","(0.3828125, -0.40625, 0.359375)","(22.887769893949795, 52.253407200525004)"
"(-0.20338992099999997, 4.1156548719999995, -8.1882389372, 29.700000000000003, -26.6, 44.6)","(0.8671875, -0.1484375, 0.4765625)","(22.87174792095827, 52.25188101887886)"
"(-0.2009970984, 4.103690759, -8.216952808399999, 30.200000000000003, -26.8, 42.2)","(1.0703125, -0.46875, 0.609375)","(22.87174792095827, 52.265616653694124)"
"(-0.18664016279999998, 4.1419759206, -8.219345631, 30.200000000000003, -27.8, 45.1)","(0.0, -0.3046875, 0.390625)","(22.87174792095827, 52.29461410497077)"
"(-0.19860427579999998, 4.1228333398, -8.1738820016, 31.0, -27.5, 43.900000000000006)","(0.3125, -0.09375, 0.59375)","(22.858396276798658, 52.253407200525004)"
"(-0.20338992099999997, 4.1204405172, -8.2025958728, 30.400000000000002, -28.200000000000003, 43.1)","(0.5, -0.1953125, 0.28125)","(22.87174792095827, 52.29461410497077)"
"(-0.20338992099999997, 4.1108692268, -8.219345631, 30.900000000000002, -28.400000000000002, 43.7)","(0.4375, -0.7265625, 0.40625)","(22.858396276798658, 52.27172138027868)"
"(-0.19860427579999998, 4.1180476945999995, -8.195417404999999, 30.3, -27.1, 43.2)","(0.8046875, -0.1015625, 0.5546875)","(22.858396276798658, 52.32971628283198)"
"(-0.20338992099999997, 4.1180476945999995, -8.238488211799998, 31.1, -27.8, 44.6)","(0.578125, 0.046875, 0.4609375)","(22.858396276798658, 52.32055919295514)"
"(-0.19860427579999998, 4.1252261624, -8.212167163199998, 32.5, -28.400000000000002, 46.2)","(0.0703125, -0.8515625, 0.453125)","(22.858396276798658, 52.326663919539705)"
"(-0.18664016279999998, 4.1180476945999995, -8.2097743406, 31.200000000000003, -27.8, 44.900000000000006)","(0.9609375, -0.21875, 0.453125)","(22.858396276798658, 52.33124246447812)"
"(-0.18903298539999996, 4.1156548719999995, -8.1882389372, 31.6, -27.700000000000003, 43.6)","(0.5546875, -0.078125, 0.4296875)","(22.845044632639045, 52.35260900752407)"
"(-0.19860427579999998, 4.1228333398, -8.1882389372, 32.0, -27.200000000000003, 45.6)","(0.859375, -0.1015625, 0.40625)","(22.858396276798658, 52.33887337270882)"
"(-0.18185451759999996, 4.139583098, -8.2241312762, 31.3, -26.3, 43.800000000000004)","(0.625, -0.3984375, 0.453125)","(22.845044632639045, 52.35871373410863)"
"(-0.2081755662, 4.137190275399999, -8.190631759799999, 30.5, -28.200000000000003, 44.5)","(0.625, -0.5234375, 0.40625)","(22.845044632639045, 52.30682355813989)"
"(-0.19142580799999998, 4.113262049399999, -8.200203050199999, 31.200000000000003, -26.900000000000002, 45.6)","(0.75, -0.2578125, 0.59375)","(22.858396276798658, 52.3342948277704)"
"(-0.2009970984, 4.127618985, -8.2097743406, 31.6, -27.6, 44.2)","(0.8828125, -0.515625, 0.609375)","(22.858396276798658, 52.31750682966286)"
"(-0.19142580799999998, 4.1252261624, -8.207381518, 31.200000000000003, -26.400000000000002, 45.6)","(0.5390625, 0.203125, 0.6875)","(22.831692988479446, 52.32208537460129)"
"(-0.19381863059999999, 4.1228333398, -8.2241312762, 31.8, -27.8, 44.900000000000006)","(0.4140625, 0.0859375, 0.34375)","(22.831692988479446, 52.288509378386216)"
"(-0.18903298539999996, 4.1228333398, -8.2217384536, 31.200000000000003, -26.900000000000002, 44.2)","(0.8671875, -0.3046875, 0.3359375)","(22.831692988479446, 52.354135189170215)"
"(-0.19621145319999997, 4.113262049399999, -8.190631759799999, 31.400000000000002, -27.200000000000003, 45.6)","(0.6796875, -0.4453125, 0.390625)","(22.815671015487908, 52.35718755246249)"
"(-0.19142580799999998, 4.1300118076, -8.226524098799999, 30.8, -27.8, 46.2)","(0.84375, -0.1875, 0.5078125)","(22.802319371328295, 52.3342948277704)"
"(-0.18903298539999996, 4.1180476945999995, -8.1882389372, 30.700000000000003, -26.900000000000002, 43.400000000000006)","(0.4453125, -0.171875, 0.3125)","(22.831692988479446, 52.3342948277704)"
"(-0.19142580799999998, 4.108476404199999, -8.2217384536, 30.900000000000002, -28.3, 44.1)","(0.7734375, -0.1015625, 0.5546875)","(22.831692988479446, 52.344978099293385)"
"(-0.21056838879999998, 4.113262049399999, -8.200203050199999, 30.400000000000002, -27.0, 42.7)","(0.4765625, -0.421875, 0.484375)","(22.831692988479446, 52.36787082398548)"
"(-0.18424734019999997, 4.106083581599999, -8.2241312762, 31.900000000000002, -27.8, 45.2)","(0.4765625, -0.1640625, 0.703125)","(22.831692988479446, 52.35260900752407)"
"(-0.18185451759999996, 4.1204405172, -8.204988695399999, 31.400000000000002, -25.900000000000002, 44.300000000000004)","(0.703125, -0.1484375, 0.6328125)","(22.802319371328295, 52.34345191764724)"
"(-0.18185451759999996, 4.1347974528, -8.1930245824, 31.200000000000003, -26.900000000000002, 44.6)","(0.734375, -0.0234375, 0.53125)","(22.788967727168696, 52.32971628283198)"
"(-0.20578274359999998, 4.1108692268, -8.171489179, 31.200000000000003, -27.0, 45.7)","(1.0078125, -0.2421875, 0.4296875)","(22.802319371328295, 52.31750682966286)"
"(-0.19621145319999997, 4.1252261624, -8.164310711199999, 30.700000000000003, -26.900000000000002, 45.1)","(0.328125, -0.3359375, 0.2578125)","(22.815671015487908, 52.32208537460129)"
"(-0.19621145319999997, 4.106083581599999, -8.212167163199998, 31.700000000000003, -26.400000000000002, 45.300000000000004)","(0.3515625, -0.5234375, 0.53125)","(22.802319371328295, 52.363292279047045)"
"(-0.21056838879999998, 4.1204405172, -8.2025958728, 31.3, -26.8, 44.900000000000006)","(0.53125, -0.265625, 0.34375)","(22.802319371328295, 52.33124246447812)"
"(-0.20338992099999997, 4.103690759, -8.2097743406, 31.6, -26.5, 42.800000000000004)","(0.828125, -0.453125, 0.2734375)","(22.831692988479446, 52.363292279047045)"
"(-0.19621145319999997, 4.1156548719999995, -8.183453292, 32.5, -27.0, 44.0)","(0.90625, 0.0234375, 0.6015625)","(22.802319371328295, 52.36176609740091)"
"(-0.19381863059999999, 4.1156548719999995, -8.200203050199999, 31.200000000000003, -27.400000000000002, 43.800000000000004)","(-0.0390625, -0.484375, 0.3125)","(22.802319371328295, 52.375501732216165)"
"(-0.18903298539999996, 4.1156548719999995, -8.1978102276, 31.0, -27.400000000000002, 43.1)","(0.7890625, -0.1875, 0.3671875)","(22.775616083009083, 52.363292279047045)"
"(-0.19860427579999998, 4.1228333398, -8.200203050199999, 31.1, -26.3, 43.7)","(0.6796875, -0.3046875, 0.3203125)","(22.788967727168696, 52.38618500373915)"
"(-0.19860427579999998, 4.1180476945999995, -8.181060469399998, 30.0, -27.1, 44.7)","(0.6015625, -0.1875, 0.4375)","(22.831692988479446, 52.375501732216165)"
"(-0.21056838879999998, 4.1347974528, -8.212167163199998, 30.900000000000002, -27.900000000000002, 44.6)","(0.5546875, -0.3828125, 0.6171875)","(22.788967727168696, 52.37244936892389)"
"(-0.21056838879999998, 4.106083581599999, -8.1738820016, 31.700000000000003, -26.700000000000003, 44.0)","(0.5546875, -0.140625, 0.28125)","(22.788967727168696, 52.402973001846675)"
"(-0.19860427579999998, 4.1180476945999995, -8.1978102276, 31.3, -27.400000000000002, 45.800000000000004)","(1.3828125, -0.3359375, 0.7109375)","(22.788967727168696, 52.38465882209301)"
"(-0.19621145319999997, 4.1204405172, -8.231309743999999, 31.0, -27.400000000000002, 44.7)","(0.84375, -0.1640625, 0.4609375)","(22.759594110017545, 52.39534209361598)"
"(-0.19621145319999997, 4.1228333398, -8.195417404999999, 30.200000000000003, -28.400000000000002, 44.1)","(0.609375, -0.03125, 0.453125)","(22.775616083009083, 52.393815911969845)"
"(-0.2081755662, 4.113262049399999, -8.183453292, 31.0, -27.1, 43.300000000000004)","(0.4375, -0.234375, 0.5078125)","(22.788967727168696, 52.41670863666194)"
"(-0.18903298539999996, 4.1347974528, -8.2145599858, 30.900000000000002, -27.3, 43.5)","(0.296875, -0.421875, 0.6171875)","(22.775616083009083, 52.402973001846675)"
"(-0.2081755662, 4.113262049399999, -8.2217384536, 31.5, -26.8, 44.0)","(0.7109375, 0.234375, 0.3671875)","(22.788967727168696, 52.42281336324649)"
"(-0.21056838879999998, 4.1347974528, -8.195417404999999, 31.1, -26.400000000000002, 43.5)","(0.625, -0.375, 0.4765625)","(22.759594110017545, 52.402973001846675)"
"(-0.2009970984, 4.1324046302, -8.216952808399999, 30.900000000000002, -25.900000000000002, 45.6)","(0.6015625, -0.2421875, 0.546875)","(22.775616083009083, 52.43960136135403)"
"(-0.19142580799999998, 4.1228333398, -8.207381518, 31.0, -27.700000000000003, 42.7)","(0.71875, -0.265625, 0.546875)","(22.746242465857947, 52.43502281641561)"
"(-0.21056838879999998, 4.137190275399999, -8.2289169214, 31.400000000000002, -28.0, 44.300000000000004)","(0.734375, -0.140625, 0.453125)","(22.788967727168696, 52.42586572653877)"
"(-0.20338992099999997, 4.127618985, -8.1882389372, 31.5, -26.8, 44.6)","(0.1796875, -0.5625, 0.3203125)","(22.775616083009083, 52.42586572653877)"
"(-0.19860427579999998, 4.1228333398, -8.204988695399999, 30.3, -26.900000000000002, 44.300000000000004)","(0.828125, -0.3359375, 0.484375)","(22.759594110017545, 52.4579155411077)"
"(-0.19142580799999998, 4.144368743199999, -8.2145599858, 31.400000000000002, -27.0, 45.6)","(1.0390625, 0.0703125, 0.53125)","(22.759594110017545, 52.44417990629244)"
"(-0.18424734019999997, 4.1491543883999995, -8.200203050199999, 31.0, -27.5, 43.6)","(0.515625, -0.03125, 0.203125)","(22.775616083009083, 52.43654899806175)"
"(-0.215354034, 4.1180476945999995, -8.1930245824, 31.700000000000003, -27.200000000000003, 44.6)","(0.6484375, -0.1171875, 0.4140625)","(22.759594110017545, 52.41365627336966)"
"(-0.20338992099999997, 4.1347974528, -8.1978102276, 31.200000000000003, -27.900000000000002, 45.400000000000006)","(0.5546875, -0.1015625, 0.5078125)","(22.775616083009083, 52.43502281641561)"
"(-0.19381863059999999, 4.1156548719999995, -8.183453292, 30.8, -27.400000000000002, 44.300000000000004)","(0.703125, -0.4453125, 0.5)","(22.775616083009083, 52.42281336324649)"
"(-0.2009970984, 4.1324046302, -8.1786676468, 31.900000000000002, -26.6, 43.900000000000006)","(0.4921875, -0.1171875, 0.734375)","(22.746242465857947, 52.46859881263069)"
"(-0.19142580799999998, 4.103690759, -8.238488211799998, 30.900000000000002, -26.200000000000003, 43.1)","(0.828125, -0.328125, 0.453125)","(22.759594110017545, 52.480808265799794)"
"(-0.18664016279999998, 4.1228333398, -8.183453292, 31.400000000000002, -27.3, 44.7)","(0.828125, -0.140625, 0.484375)","(22.759594110017545, 52.44570608793858)"
"(-0.18185451759999996, 4.127618985, -8.1858461146, 30.5, -26.8, 44.300000000000004)","(0.515625, -0.2109375, 0.1640625)","(22.732890821698334, 52.441127543000164)"
"(-0.19381863059999999, 4.1156548719999995, -8.212167163199998, 31.400000000000002, -26.700000000000003, 45.0)","(0.7109375, 0.1328125, 0.1875)","(22.746242465857947, 52.454863177815426)"
"(-0.19860427579999998, 4.1108692268, -8.2289169214, 31.5, -28.200000000000003, 44.800000000000004)","(0.6015625, -0.234375, 0.484375)","(22.746242465857947, 52.46707263098453)"
"(-0.19142580799999998, 4.1204405172, -8.181060469399998, 30.6, -28.400000000000002, 44.900000000000006)","(0.6484375, 0.1875, 0.5625)","(22.746242465857947, 52.46859881263069)"
